Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46
25;;30;;35;;40;;45;;50;;55;;60;;65;;70;;75;;80;;85;;90;;95;;100;;110;;120;;130;;140;;150;;160;;170;
X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y;X;Y
0,75;0,22;0,58;0,23;0,47;0,20;0,39;0,04;0,33;0,10;0,27;0,09;0,22;0,14;0,17;0,15;0,12;0,23;0,06;0,12;0,02;0,19;0,01;0,94;0,02;1,91;0,01;2,48;0,01;3,19;0,01;3,62;0,01;4,79;0,01;5,91;0,01;6,74;0,01;7,40;0,02;8,43;0,01;8,98;0,01;9,58
0,77;0,34;0,61;0,48;0,49;0,35;0,41;0,27;0,34;0,29;0,28;0,36;0,22;0,37;0,18;0,39;0,13;0,59;0,07;0,32;0,02;0,38;0,01;1,14;0,06;2,83;0,03;2,84;0,04;3,72;0,02;3,83;0,07;5,86;0,06;6,69;0,02;6,86;0,03;7,80;0,03;8,79;0,01;9,22;0,03;9,87
0,79;0,53;0,60;0,22;0,50;0,56;0,41;0,53;0,35;0,78;0,29;0,61;0,24;0,64;0,20;0,66;0,15;0,79;0,08;0,59;0,03;0,59;0,02;0,92;0,10;3,56;0,04;3,10;0,07;3,78;0,03;4,04;0,11;6,64;0,07;6,84;0,07;7,80;0,08;8,80;0,05;9,04;0,06;9,87;0,05;10,12
0,80;0,74;0,63;0,54;0,52;0,80;0,42;0,74;0,36;0,50;0,30;0,83;0,25;0,83;0,20;0,85;0,16;1,14;0,09;0,82;0,04;0,90;0,04;1,61;0,12;3,81;0,04;2,83;0,07;4,41;0,04;4,32;0,12;6,80;0,07;7,00;0,11;8,45;0,12;9,47;0,06;9,29;0,07;9,89;0,06;10,39
0,81;1,06;0,63;0,69;0,51;0,55;0,44;0,81;0,37;0,93;0,32;1,05;0,26;1,10;0,22;1,15;0,17;1,39;0,11;1,04;0,05;1,09;0,05;1,89;0,12;4,13;0,05;3,37;0,09;4,76;0,05;4,57;0,13;7,11;0,09;7,38;0,13;8,77;0,13;9,77;0,07;9,53;0,10;10,12;0,07;10,61
0,82;0,76;0,64;1,05;0,52;1,05;0,44;0,99;0,38;1,21;0,33;1,40;0,27;1,35;0,22;1,44;0,17;1,63;0,11;1,30;0,06;1,30;0,08;2,51;0,13;4,30;0,06;3,54;0,08;4,55;0,07;4,81;0,14;6,79;0,11;7,60;0,14;9,02;0,14;9,92;0,08;9,77;0,11;10,33;0,09;10,86
0,83;1,10;0,64;0,74;0,54;1,26;0,45;1,25;0,40;1,34;0,34;1,60;0,28;1,58;0,25;1,77;0,18;1,79;0,12;1,60;0,07;1,53;0,09;2,84;0,15;4,49;0,07;3,79;0,10;4,90;0,08;5,05;0,15;7,31;0,12;7,81;0,15;9,21;0,15;10,00;0,10;9,95;0,13;10,83;0,10;11,08
0,84;1,37;0,66;1,25;0,56;1,43;0,46;1,59;0,41;1,52;0,36;1,79;0,28;1,73;0,26;1,95;0,19;2,04;0,14;2,10;0,08;1,77;0,10;2,98;0,16;4,76;0,09;4,10;0,12;5,10;0,08;4,76;0,19;7,82;0,13;8,10;0,16;9,42;0,17;10,30;0,11;10,17;0,13;10,59;0,12;11,36
0,86;1,57;0,67;1,47;0,57;1,68;0,47;1,72;0,42;1,82;0,37;2,01;0,29;1,49;0,27;2,15;0,21;2,26;0,13;1,70;0,09;1,95;0,11;3,17;0,18;4,94;0,10;4,27;0,12;5,28;0,09;5,28;0,20;8,08;0,15;8,27;0,17;9,53;0,21;10,87;0,12;10,36;0,13;11,16;0,13;11,66
