I,,II,,III,,IV,,V,
X,Y,X,Y,X,Y,X,Y,X,Y
218.2622315327056,4.595953993742285,240.27772975699355,11.882353213420686,2576.5961382699966,25.543841989735057,4214.274434369523,38.49953760210292,3074.490415291308,42.279637565631546
265.2820793113057,4.6284838318548225,292.0537304373016,11.959836821986173,3132.1943331760313,25.741202319508332,5126.064570025721,39.281296947764176,3740.079842815042,43.16628904234963
322.4658332598654,4.7659058010242035,354.96492461166133,11.977382069947765,3807.4812204514865,25.908593468979632,6235.0320839592505,40.04807170327446,4549.761209551867,44.05294051906772
391.9760199781722,4.903327770193599,431.50034784052957,12.159757809570053,4628.073904214916,26.01604625784708,7583.91248431078,40.81484645878474,5534.982473117594,44.98454576623871
476.4041578653863,4.905888428004204,524.4817586684891,12.23724141813554,5626.381654761147,26.273344948224263,9225.03131634477,41.62657498474795,6733.3411490852095,45.886181833107784
579.0970280892974,5.04331039717357,637.4699393631847,12.269771256248077,6839.613113431498,26.470705277997524,11221.794251033214,42.4832572811641,8192.279036680013,46.922679211335605
703.893918330162,5.135778595890017,774.8226525789081,12.332270274662605,8314.838158940984,26.71301937822372,13650.757584898813,43.339939577580225,9966.416245200364,47.86926904865757
855.5717789091932,5.2132622044555035,941.8133120482764,12.439723063530025,10108.870187638904,27.01527183905381,16606.48669808444,44.25656023460026,12124.022998538596,48.75592052537566
1039.9655819399788,5.320714993322937,1144.8114881668282,12.562160442548432,12290.36317362634,27.347493480185847,20202.204803543853,45.17318089162029,14751.43080771262,49.82238708390543
1264.0035339686779,5.3532448314354895,1391.5212910242624,12.654628641264878,14942.622086921017,27.679715121317898,24576.485462840683,46.089801548640324,17948.226500474524,50.8888536424352
1536.4934735982006,5.505651390755858,1691.3201235035087,12.702143069528404,18167.515870149065,28.026921352600908,29899.73503178268,47.06636056626424,21834.130936403268,51.79048970930425
1867.7259445608208,5.6580579500761985,2056.3068052984654,13.034364710660455,22088.06363739687,28.359142993732945,36376.55279321905,48.05790417403914,26568.66767320082,52.96184839889085
2270.190958168248,5.735541558641671,2499.6754333512176,13.216740450282757,26857.538854500486,28.79625676592181,44257.04172551444,49.06443237196502,32326.387279335886,54.02831495742062
2759.338553008106,5.79804057705617,3038.965728470469,13.504008320961873,32657.385982395284,29.248355128261636,53848.02460756387,50.130898930494794,39334.27244682888,55.15471987655429
3354.23942574884,5.9654317265275125,3694.4353114328005,13.746322421188069,39711.52288914362,29.745407261054382,65517.4779218278,51.19736548902456,47863.55893215545,56.32607856614088
4077.2112472142917,6.08786910554592,4491.28206431966,13.98863652141425,48293.07490354972,30.317382344602024,79719.48460135689,52.30878581800726,58244.12583374126,57.527406436029416
4956.087971048336,6.225291074715287,5460.834093343492,14.380796523150195,58722.79304879866,30.784465297092822,97005.94448304661,53.48014450759385,70879.26271705198,58.77368807637088
6024.321776979443,6.34772845373368,6638.976979617445,14.668064393829312,71414.8121009165,31.386409560942397,118037.21040374906,54.621534016878485,86258.02870592257,60.04993889701428
7324.593629018316,6.709919275167664,8072.654569213167,15.120162756169151,86856.65212996205,32.06327677554684,143643.5061361772,55.86781565721995,104970.33633150141,61.29622053735575
8905.10393745067,7.027156326148727,9815.632691713505,15.542291938207043,105629.36756808106,32.665221039396414,174802.00843740124,57.09911270741044,127755.65114726484,62.64739430875402
10826.989812622513,7.374362557431752,11933.845060904428,15.87451357933908,128467.36859107229,33.32710366384988,212745.28776629345,58.45028647880872,155496.35240573608,64.05850644075619
13162.648072652477,7.646645837959895,14511.163664511414,16.34159653182988,156250.31217765994,34.033940058756286,258908.86778494297,59.7415218896031,189251.95554452637,65.42466480230546
16004.613801286481,8.068775019997773,17645.90764432903,16.853633254773612,190044.6278899992,34.75576104381365,315108.74545745406,61.09269566100137,230352.92928833424,66.86574611460958
19459.299918779056,8.44595043158273,21460.452420724414,17.48554669892512,231176.35481957838,35.5974587500788,383554.5135091326,62.563746153607454,280392.9043510692,68.35178119736662
23662.954751853522,8.957987154526464,26096.402065104176,17.997583421868853,281257.59027693316,36.60398694800469,466881.87704493484,64.06476582651547,341313.58654134773,69.86778546042562
28775.575114971965,9.499993057772144,31735.27840767175,18.55457391526552,342135.9452771729,37.460669244420814,568355.5804362766,65.64070845017835,415502.1997960379,71.45871267423948
34997.10828366513,10.161875682225613,38599.08560767533,19.276394900322884,416216.9014317042,38.37728990144085,691873.3492104537,67.20166648369027,505824.3325685074,73.06462447820432
42559.88813294096,10.733850765773255,46945.266010403124,19.953262114927313,506353.7105343755,39.32387973876281,842337.5969655487,68.88250123840999,615818.4011906945,74.73047464277306
51763.29387842412,11.42570257052867,57094.373858555,20.600160149229822,616020.1535039123,40.28545416623578,1025617.9222648892,70.65324353403554,749765.6209213507,76.44127857779472
62957.86172434914,12.13253896543506,69443.98861000726,21.33696572443816,749392.4088105339,41.187090233104826,1183932.131682095,72.3017760646703,912861.7762112211,78.16706710296735
76575.75934412317,12.86934454064341,84471.3030358005,22.148694250401363,911766.0289319721,42.22358761133266,3586.057408366762,37.81496754944743,1111589.07773309,80.02771693949875
93137.80873219094,13.59116552570076,102752.02006519432,22.975407366515554,1109440.448928807,43.3649771206173,,,1353620.1064264877,81.9183359563321
113294.07322652936,14.417878641814937,124992.7494562184,23.832089662931708,1349827.0072709948,44.40147449884512,,,1648349.5827961136,83.80895497316544
137810.3156692706,15.229607167778184,152038.19988071753,24.628833598743938,1642499.8580457761,45.55784859828073,,,2007159.716449096,85.65462021954586
167639.43178929525,16.08628946419431,184949.77627581352,25.500500485311036,1998508.5619473953,46.65428433711246,,,2444224.5209928253,87.56022382653019
203940.66282184824,17.0178947113653,225013.20809832084,26.492044093085937,2346622.106662213,47.613447139769065,,,2845650.5570887383,88.86699705601487
248102.6898521775,17.949499958536308,273729.98930613016,27.393680159954982,,,,,,
301836.9450204634,18.911074386009247,333019.7136153086,28.370239177578924,,,,,,
367225.8431415358,19.91760258393512,405188.71199705254,29.436705736108706,,,,,,
446828.172819344,21.02902291291784,492952.3037335411,30.41326475373262,,,,,,
543735.5036770249,22.23035078280637,599844.6182622673,31.584623443319202,,,,,,
