Kerosin - monatlicher Preis (Euro pro Gallone);;;0,750–0,845 kg/l;
Monat;Preis;Veränderung;€ pro Liter;€ pro Kg
Jun 13;2,1;-;0,55;0,69
Jul 13;2,21;5,35%;0,58;0,73
Aug 13;2,26;2,00%;0,60;0,75
Sep 13;2,2;-2,62%;0,58;0,73
Okt 13;2,12;-3,72%;0,56;0,70
Nov 13;2,1;-0,77%;0,55;0,69
Dez 13;2,16;2,76%;0,57;0,71
Jan 14;2,15;-0,52%;0,57;0,71
Feb 14;2,17;1,18%;0,57;0,72
Mrz 14;2,09;-3,70%;0,55;0,69
Apr 14;2,09;0,00%;0,55;0,69
Mai 14;2,09;-0,14%;0,55;0,69
Jun 14;2,12;1,59%;0,56;0,70
Jul 14;2,08;-1,92%;0,55;0,69
Aug 14;2,13;2,49%;0,56;0,70
Sep 14;2,12;-0,69%;0,56;0,70
Okt 14;1,94;-8,31%;0,51;0,64
Nov 14;1,84;-5,12%;0,49;0,61
Dez 14;1,46;-20,70%;0,39;0,48
Jan 15;1,29;-11,67%;0,34;0,43
Feb 15;1,56;20,64%;0,41;0,52
Mrz 15;1,5;-3,40%;0,40;0,50
Apr 15;1,58;5,03%;0,42;0,52
Mai 15;1,66;4,94%;0,44;0,55
Jun 15;1,54;-6,79%;0,41;0,51
Jul 15;1,41;-8,76%;0,37;0,47
Aug 15;1,25;-11,50%;0,33;0,41
Sep 15;1,24;-0,36%;0,33;0,41
Okt 15;1,24;-0,31%;0,33;0,41
Nov 15;1,23;-0,44%;0,32;0,41
Dez 15;0,99;-19,35%;0,26;0,33
Jan 16;0,86;-13,90%;0,23;0,28
Feb 16;0,88;2,46%;0,23;0,29
Mrz 16;0,96;9,76%;0,25;0,32
Apr 16;1,01;5,01%;0,27;0,33
Mai 16;1,15;13,46%;0,30;0,38
Jun 16;1,23;7,24%;0,32;0,41
Jul 16;1,15;-6,60%;0,30;0,38
Aug 16;1,16;0,48%;0,31;0,38
Sep 16;1,18;1,82%;0,31;0,39
Okt 16;1,32;12,43%;0,35;0,44
Nov 16;1,25;-5,21%;0,33;0,41
Dez 16;1,41;12,84%;0,37;0,47
Jan 17;1,43;0,78%;0,38;0,47
Feb 17;1,45;1,97%;0,38;0,48
Mrz 17;1,35;-6,94%;0,36;0,45
Apr 17;1,41;4,18%;0,37;0,47
Mai 17;1,28;-9,31%;0,34;0,42
Jun 17;1,15;-9,75%;0,30;0,38
Jul 17;1,23;6,68%;0,32;0,41
Aug 17;1,32;7,47%;0,35;0,44
Sep 17;1,51;14,26%;0,40;0,50
